,Cadps2_class,Calb2_class,Cdh13_class,Cnr1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Satb1_class,Snca_class,Sncg_class,Sst_class,Zero
Cort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04007532775181143,0.0018352773334908575,0.0,0.0,0.0,0.0,0.0018033960059357862,0.0,0.0,0.0,0.0,0.0,0.0,0.12898291419898092,0.0,9.612160471876485e-05
Cox6a2,0.4770517669401145,0.1846185703295462,3.6995647979730464,0.569147759594806,0.059628470155261286,0.05234511513487748,0.11708534367223647,0.16166545774085167,0.008205035427736916,0.06965084985034617,0.027281820290259672,0.6523076943432075,0.2483737944231488,0.036909911752709204,0.13382368327442581,0.8082891151465732,0.06220824349482899,0.05061328358000502,0.00021867537896376013,0.09631480126118484,1.9356701837206887,0.17662602246608272,0.010603427852467092
Cplx2,2.351299195980793,1.387365554824661,5.729124526320625,5.050102046012801,4.1367960883305095,3.305165561040527,2.079881626709645,1.426810481616128,0.8378880026121438,3.313400882465012,0.5990048148811217,4.747737091851756,2.021725437141668,0.7188134368551452,1.5525189343368457,0.8785127590160295,1.6157870971146906,0.788430931246043,2.520842611309581,2.203570189849417,6.6948651457263875,1.8142744254614933,0.23462029639706047
Cpne5,1.0384781875888167,0.4200575000629831,1.7212614300081115,1.5568837659520145,0.0800843616462159,0.05421374685591953,0.4521723773854701,0.05886401884510201,0.0711000725604008,0.5281277946948068,0.027948782965055187,0.24964564780340084,0.10347997341778341,0.056596594511413086,0.13759004071294295,0.0,0.8230642936126087,0.6755853476969534,0.10244780054542367,0.16183173678735902,2.0704174275577016,0.3435043648472117,0.03137925929757119
Crh,0.0,0.2806055433814346,0.09351350878583932,0.09073647892084848,0.05713306672257404,0.11423537263574574,0.06014244579216644,0.0025971148420019185,0.010235175979717508,0.07214241565995863,0.0002182742461486037,0.07866003419537847,0.017014695887503664,0.00495956399496169,0.03149188802040202,0.1148841408692094,0.0,0.0,0.13171556988235997,4.415490048558297e-05,0.13565514774258253,0.0,0.0025676111824916243
Crhbp,0.0,0.0,0.0034459474434314443,0.0028755135941771082,0.024299334342995676,0.059595509555925893,0.0,0.04145001567122415,0.013927807336357506,0.0910396106731042,0.06823677088187449,0.0,0.2609010862408095,0.010874776514032066,0.0,0.0,0.2116451804479338,0.0,0.08081385258700012,0.03494528598662793,0.12282733899981572,0.08714721918158555,0.0067361722376612495
Cryab,1.1839282455101554,0.7610317863460185,0.7689454976998407,1.545783352406817,1.1243663853552257,2.38714198684924,4.6959872289331575,1.1081183631069897,1.671672231702897,2.7340687044071617,1.3828324881574534,9.42659036509618,0.7182777743961498,4.230989866337357,0.5914849936382556,1.0551595685987236,0.45658042186210307,0.9353717316146569,1.1078214882043156,0.866424018917915,0.5741740773109358,5.80722429020576,0.3360102278506962
Cxcl14,0.8982200602049198,1.372871772100512,0.4704576054016643,1.1613106898155467,0.8045237323476682,0.3304514422847226,5.963716038860745,0.5084680876079759,4.401667768475843,4.230785543517553,0.7295933780993702,0.4642559736686183,1.0982169537111448,1.3818858644709668,2.237831754991437,1.3261403056907524,0.9295203566503999,0.9231322534532941,1.6002034810941117,1.2668521855348296,0.9553460842309077,2.4179872948841696,0.38379601705573907
Enpp2,0.15031931548940733,0.5828456198225027,0.0804287612715952,0.4474818829441207,0.40721945916837116,0.1510535876933851,1.1595671351013666,0.2187638668937798,0.12688741778265147,1.1193568244585603,0.22536314570030516,4.753157264154666,0.14424583685229408,1.224700644868117,0.2968609953042945,2.2061043101053,0.16080727331326988,0.535301701410622,0.2601123606855585,0.27666645969908815,0.5473439496405644,1.4098356130490006,0.06474812923494305
Gabrd,0.00034173711927864805,0.0,0.0,0.09448096194505076,0.0,0.0,0.06271524376581578,0.037252922390556165,0.007374251887544065,0.0,0.0,0.07301806514332278,0.04417743470824156,0.01072752817565262,0.00399152715149052,0.23985831942396973,7.142650919136025e-05,0.006132462341386529,0.0,0.019692121938259827,0.4071902147295069,0.28947653135079526,0.0032588853618321606
Gad1,0.49952452416106347,0.07386530254612086,0.3038510115273366,4.550756135548011,7.072947439955719,3.4676709597649213,2.128045462530696,5.979152975678472,0.5410708353378311,5.650080418138663,5.048499904967128,0.37406697419004376,3.1115721483840497,0.9094290865042133,2.5433184710326366,9.154967396879083,2.026645858642729,0.2782464351496214,5.3787658279064665,3.9155699524485805,0.46041978681159257,3.438490332916106,0.1491156500365191
