,Bcl11b_class,Cadps2_class,Calb1_class,Calb2_class,Cck_class,Cdh13_class,Chodl_class,Chrm2_class,Cnr1_class,Col25a1_class,Cort_class,Cox6a2_class,Cplx2_class,Cpne5_class,Crh_class,Crhbp_class,Cryab_class,Cxcl14_class,Enpp2_class,Gabrd_class,Gad1_class,Gda_class,Grin3a_class,Hapln1_class,Htr3a_class,Id2_class,Kcnk2_class,Kctd12_class,Kit_class,Lamp5_class,Lhx6_class,Ndnf_class,Neurod6_class,Nos1_class,Nov_class,Npy2r_class,Nr4a2_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plcxd2_class,Plp1_class,Pnoc_class,Prkca_class,Pthlh_class,Pvalb_class,Rab3c_class,Rasgrf2_class,Reln_class,Rgs10_class,Rgs12_class,Rgs4_class,Satb1_class,Sema3c_class,Serpini1_class,Slc17a8_class,Snca_class,Sncg_class,Sst_class,Synpr_class,Tac1_class,Tac2_class,Th_class,Thsd7a_class,Trp53i11_class,Vip_class,Wfs1_class,Yjefn3_class,Zero
Crh,0.0,4.083190137664451e-06,0.0,1.232124744917907,0.0,0.3861660871585721,0.0,0.0,0.3725128873816961,0.0,0.0,0.0,0.29402237215149024,0.0,15.0,0.0,0.5365429996555997,0.28788621487895233,0.0,0.0,0.016197459822593047,0.0,0.0,0.0,0.0,0.05841026197692442,0.0,0.0,0.0,0.0,0.2948722682469009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010924565319286948,0.3443268594592018,0.09410616394025278,0.0,0.030611079990828287,0.16865766490603043,0.0,0.0,0.43043368587615505,0.0,0.0,0.00022666241663089095,0.0,0.0,7.996603246294312e-06,0.7925423502350305,0.0,0.0,0.0,0.0003694846012881073,0.47962838581819645,0.0002570074629281296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crhbp,0.0,0.0019425972418190749,0.0,8.875145382436393e-06,0.0,0.012773764479607715,0.0,0.0,0.012763067925752406,0.0,0.0,0.0,0.16504245278924187,0.0,0.0,15.0,0.24100913842170474,0.0004890481061186379,0.0,0.0,0.25159924644621895,0.0,0.0,0.0,0.0,0.07771981195782379,0.0,0.0,0.0,0.0,0.3422540802909145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3483820266413878,2.6890691056421864e-06,2.2253232180779277,0.0,0.0652250215022748,0.00037078816740989583,0.0,0.0,0.00029456718356285174,0.0,0.0,1.4756127629468003,0.0,0.0,6.518803093501754e-05,0.4076044173320878,0.0,0.0,0.0,0.16873660279894018,0.4193470818137135,0.34522881682822865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryab,0.0,1.6734383123995302,0.0,0.8890858064343311,0.0,0.895248484995767,0.0,0.0,1.8580589193394894,0.0,0.0,0.0,1.5037182359743684,0.0,0.0,0.0,7.844089078726277,7.711213761800899,0.0,0.0,1.5863297042911868,0.0,0.0,0.0,0.0,2.672382722040433,0.0,0.0,0.0,0.0,3.455248974229341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9040902973734029,16.10079749643578,0.869524874301435,0.0,11.397830888794719,0.7651272094065653,0.0,0.0,1.190427058241263,0.0,0.0,0.574582739006181,0.0,0.0,1.2315958851175044,1.4582397278240908,0.0,0.0,0.0,1.1653933478561964,0.6223737020009434,8.155434368486732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcl14,0.0,1.4371660336384042,0.0,1.8692881987088428,0.0,0.6092483804684387,0.0,0.0,1.603880747949499,0.0,0.0,0.0,1.2737322463048146,0.0,0.0,0.0,0.5028611897268531,25.856534658690443,0.0,0.0,0.7944540792421385,0.0,0.0,0.0,0.0,17.842527409215297,0.0,0.0,0.0,0.0,7.413829352204961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1705524486051737,0.6180498974890901,1.7046558590464203,0.0,2.6818113071509724,4.506295205771288,0.0,0.0,1.7511881190014507,0.0,0.0,1.47557224380539,0.0,0.0,1.444058504064936,2.645020722547626,0.0,0.0,0.0,2.2490027825265613,1.1947281561512209,3.7223803545411687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enpp2,0.0,0.2763200036717268,0.0,1.0134616638807474,0.0,0.12606921903070217,0.0,0.0,0.7591812833605615,0.0,0.0,0.0,0.812455367554884,0.0,0.0,0.0,0.26175062721661985,2.692328868683695,15.0,0.0,0.41505023164569443,0.0,0.0,0.0,0.0,0.2706306932356875,0.0,0.0,0.0,0.0,2.1862613643842703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4050793891403446,16.926784187970384,0.26143862035524973,0.0,4.341716582503403,0.5574248520357632,0.0,0.0,4.6000142049099315,0.0,0.0,0.2895344294505418,0.0,0.0,1.0858671970662312,0.492491169149083,0.0,0.0,0.0,0.5231252402066204,0.8613474073677537,2.90503310809314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrd,0.0,0.0018844763675093575,0.0,4.947457196148169e-07,0.0,2.5775262323150935e-06,0.0,0.0,0.38800870807466076,0.0,0.0,0.0,0.00030186606507710156,0.0,0.0,0.0,0.014162716542822378,0.3000251084932826,0.0,15.0,0.22170548494651734,0.0,0.0,0.0,0.0,0.0516820200020348,0.0,0.0,0.0,0.0,3.668826377278245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007530547659694338,0.3174052122025652,0.25650404015735917,0.0,0.06635193725876777,0.008138580448501864,0.0,0.0,0.9648155617835176,0.0,0.0,0.0005852449219194397,0.0,0.0,0.031242988758414917,0.014580956645905412,0.0,0.0,0.0,0.11578230958401291,1.620342581521647,1.3631454218329124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gad1,0.0,0.628000517689203,0.0,0.08361974355344737,0.0,0.3322240183911925,0.0,0.0,5.679827181947692,0.0,0.0,0.0,15.608949382799928,0.0,0.0,0.0,4.906022407061533,2.5629195540773337,0.0,0.0,18.384947722818207,0.0,0.0,0.0,0.0,0.6949923854696052,0.0,0.0,0.0,0.0,7.168776054668371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83350642678399,0.4205420222168676,4.720025860894019,0.0,1.223687834466278,3.6540961098832128,0.0,0.0,11.055040200345127,0.0,0.0,2.8402279368771537,0.0,0.0,0.3340195666271867,9.39303203021318,0.0,0.0,0.0,6.903916270596256,0.4799507520869253,4.178306270675923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gda,0.0,9.935720387039082e-07,0.0,1.0122091735222195e-13,0.0,0.0012859700744724722,0.0,0.0,6.872284006945109e-07,0.0,0.0,0.0,5.307504530623419e-06,0.0,0.0,0.0,0.0010655467844179671,1.2519937080702373e-08,0.0,0.0,0.08834514125533173,15.0,0.0,0.0,0.0,6.085674958022042e-08,0.0,0.0,0.0,0.0,1.679509028448719e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19348400688051576,0.3958295410595366,7.810682669152811e-05,0.0,0.0063478895274276794,5.462071750717318e-05,0.0,0.0,1.1626849022357134e-05,0.0,0.0,0.0001064329567068405,0.0,0.0,2.3102112319189576e-09,0.00035798468633505866,0.0,0.0,0.0,9.149046756381214e-05,9.297550073771817e-09,6.156999145053157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grin3a,0.0,0.8473023293291908,0.0,0.000443819559533084,0.0,0.43560896376728625,0.0,0.0,0.82407149231912,0.0,0.0,0.0,0.9328949512857798,0.0,0.0,0.0,2.3332742529785526,1.481156887911092,0.0,0.0,0.10820790443983987,0.0,15.0,0.0,0.0,0.3332485065619289,0.0,0.0,0.0,0.0,1.94415636376518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4805170814053057,0.32005545462134105,0.3658367976680083,0.0,0.16964709249478327,0.8426413917176024,0.0,0.0,4.5121402911673805,0.0,0.0,0.7687972425716851,0.0,0.0,0.8994091887196501,1.2449331649402111,0.0,0.0,0.0,1.678698271736856,2.004546068809246,0.2243858979257318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hapln1,0.0,0.002906134903600637,0.0,3.9326248865999744,0.0,1.5661771944449542e-09,0.0,0.0,1.1677388862703819e-05,0.0,0.0,0.0,0.00012144616507465498,0.0,0.0,0.0,0.21619581792243617,0.2576355917310578,0.0,0.0,0.4223258581473031,0.0,0.0,15.0,0.0,0.2973898003574789,0.0,0.0,0.0,0.0,0.0015341739532730091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37268287410646833,4.89222596466259e-06,0.5148457883737857,0.0,0.09328755306568895,0.28368212161427486,0.0,0.0,0.0009979101589686434,0.0,0.0,0.12211263555216223,0.0,0.0,0.3302988343776135,0.17512771607481517,0.0,0.0,0.0,0.09765498587272373,0.00020799081048732387,8.886984055656088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
